uniqueid,bank_account,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
uniqueid_6972,No,Rural,Yes,2.0,47,Female,Head of Household,Widowed,Primary education,Farming and Fishing
uniqueid_1384,No,Rural,Yes,3.0,28,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_6712,No,Rural,Yes,3.0,35,Female,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing
uniqueid_7224,Yes,Urban,Yes,4.0,50,Female,Spouse,Married/Living together,Tertiary education,Other Income
uniqueid_6113,No,Rural,Yes,3.0,25,Male,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_6956,No,Rural,Yes,2.0,55,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_761,No,Rural,Yes,5.0,65,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_485,No,Rural,Yes,6.0,20,Male,Child,Single/Never Married,Vocational/Specialised training,Informally employed
uniqueid_3225,No,Rural,Yes,7.0,31,Female,Spouse,Married/Living together,Primary education,Self employed
uniqueid_2616,No,Rural,Yes,5.0,38,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
uniqueid_3162,No,Rural,Yes,9.0,19,Male,Child,Single/Never Married,Primary education,Informally employed
uniqueid_5657,No,Rural,Yes,,34,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_6656,No,Rural,Yes,4.0,22,Female,Spouse,Married/Living together,Secondary education,Self employed
uniqueid_2576,No,Rural,Yes,2.0,70,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
uniqueid_2745,No,Rural,Yes,6.0,33,Male,Head of Household,Married/Living together,Primary education,Other Income
uniqueid_1789,No,Urban,Yes,3.0,20,Female,Parent,Single/Never Married,Secondary education,Formally employed Government
uniqueid_7701,No,Rural,Yes,8.0,34,Female,Parent,Single/Never Married,No formal education,Government Dependent
uniqueid_5717,No,Rural,No,5.0,33,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_3030,Yes,Rural,Yes,4.0,34,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_7589,No,Urban,Yes,5.0,16,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
uniqueid_417,No,Urban,Yes,6.0,17,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
uniqueid_7857,No,Rural,Yes,2.0,67,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_5855,No,Rural,No,5.0,16,Female,Child,Single/Never Married,Primary education,Remittance Dependent
uniqueid_2786,No,Rural,Yes,4.0,52,Female,Head of Household,Single/Never Married,Primary education,Farming and Fishing
uniqueid_599,No,Rural,Yes,5.0,54,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_4607,No,Urban,Yes,2.0,26,Female,Child,Single/Never Married,Secondary education,Other Income
uniqueid_7922,Yes,Rural,Yes,6.0,33,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_6886,No,Rural,Yes,6.0,39,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_1392,No,Rural,Yes,8.0,41,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_4970,No,Rural,No,,85,Male,Head of Household,Married/Living together,No formal education,Government Dependent
uniqueid_1463,No,Rural,Yes,2.0,34,Female,Spouse,Married/Living together,Tertiary education,Farming and Fishing
uniqueid_6000,Yes,Rural,Yes,3.0,50,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_3552,No,Rural,Yes,1.0,54,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_2465,No,Rural,Yes,5.0,34,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_7044,Yes,Urban,Yes,2.0,37,Male,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_7748,Yes,Urban,Yes,7.0,31,Female,Spouse,Married/Living together,Secondary education,Other Income
uniqueid_367,No,Rural,Yes,5.0,21,Male,Child,Single/Never Married,Primary education,Informally employed
uniqueid_2942,No,Rural,Yes,4.0,46,Female,Head of Household,Widowed,Secondary education,Informally employed
uniqueid_4628,No,Rural,Yes,2.0,28,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_5457,No,Rural,Yes,3.0,28,Female,Parent,Married/Living together,Primary education,Farming and Fishing
uniqueid_1272,No,Rural,Yes,8.0,34,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
uniqueid_945,No,Rural,Yes,3.0,46,Female,Head of Household,Married/Living together,Secondary education,Other Income
uniqueid_4732,No,Rural,No,,28,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_5329,No,Rural,Yes,6.0,34,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_8460,No,Rural,Yes,2.0,73,Female,Head of Household,Divorced/Seperated,No formal education,Government Dependent
uniqueid_2200,No,Rural,Yes,2.0,60,Female,Head of Household,Widowed,Primary education,Farming and Fishing
uniqueid_3281,Yes,Rural,Yes,2.0,75,Female,Head of Household,Widowed,Primary education,Other Income
uniqueid_403,No,Rural,Yes,4.0,26,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_7364,No,Rural,Yes,6.0,19,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
uniqueid_7427,No,Urban,Yes,3.0,18,Male,Other non-relatives,Single/Never Married,Secondary education,Remittance Dependent
uniqueid_2180,No,Rural,Yes,8.0,37,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_5337,No,Rural,Yes,5.0,26,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_8324,No,Rural,Yes,6.0,41,Female,Spouse,Married/Living together,Primary education,Self employed
uniqueid_2545,No,Rural,Yes,,40,Female,Spouse,Married/Living together,Primary education,Self employed
uniqueid_5141,No,Rural,Yes,2.0,35,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_4945,Yes,Rural,Yes,6.0,44,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_2408,No,Urban,Yes,5.0,37,Male,Child,Divorced/Seperated,Secondary education,Self employed
uniqueid_7845,No,Rural,No,1.0,75,Female,Head of Household,Widowed,Primary education,Remittance Dependent
uniqueid_6945,No,Rural,No,6.0,67,Male,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_5767,No,Urban,No,3.0,90,Female,Head of Household,Married/Living together,No formal education,Remittance Dependent
uniqueid_4652,No,Rural,Yes,3.0,20,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
uniqueid_303,No,Rural,Yes,6.0,32,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_7059,No,Rural,Yes,4.0,35,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_5861,No,Rural,Yes,3.0,41,Female,Parent,Single/Never Married,No formal education,Informally employed
uniqueid_6141,No,Urban,Yes,2.0,73,Female,Head of Household,Widowed,No formal education,Other Income
uniqueid_6605,No,Rural,Yes,4.0,33,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_7774,No,Rural,Yes,5.0,29,Female,Child,Divorced/Seperated,Primary education,Informally employed
uniqueid_4090,No,Rural,Yes,8.0,37,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_345,No,Rural,Yes,3.0,32,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
uniqueid_8308,No,Rural,Yes,4.0,36,Female,Child,Widowed,Primary education,Farming and Fishing
uniqueid_352,No,Rural,Yes,5.0,18,Male,Other non-relatives,Single/Never Married,Primary education,Farming and Fishing
uniqueid_7988,No,Rural,Yes,5.0,27,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_1240,No,Rural,Yes,5.0,27,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_3972,No,Urban,Yes,6.0,33,Female,Spouse,Married/Living together,Primary education,Formally employed Private
uniqueid_531,No,Rural,Yes,4.0,27,Female,Child,Single/Never Married,Primary education,Informally employed
uniqueid_4162,No,Rural,Yes,2.0,59,Female,Head of Household,Widowed,No formal education,Other Income
uniqueid_4141,Yes,Rural,Yes,4.0,33,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Government
uniqueid_6457,No,Rural,Yes,4.0,35,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_6670,No,Rural,Yes,,18,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
uniqueid_1307,No,Rural,Yes,3.0,32,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_1310,No,Rural,No,3.0,31,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_3189,No,Rural,No,,28,Female,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_2872,No,Rural,Yes,5.0,80,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_6651,No,Rural,Yes,2.0,78,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_4835,No,Rural,Yes,1.0,42,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing
uniqueid_2451,No,Rural,No,5.0,38,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
uniqueid_6931,No,Rural,Yes,5.0,37,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_5796,No,Rural,Yes,2.0,63,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
uniqueid_163,No,Rural,Yes,4.0,32,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_7011,No,Rural,No,3.0,59,Female,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing
uniqueid_8427,No,Rural,Yes,1.0,34,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing
uniqueid_3159,No,Rural,Yes,3.0,31,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_4775,No,Rural,Yes,7.0,51,Male,Head of Household,Married/Living together,Primary education,Remittance Dependent
uniqueid_342,Yes,Rural,Yes,4.0,27,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_4801,No,Rural,Yes,6.0,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
uniqueid_3561,No,Rural,Yes,3.0,28,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_2339,No,Urban,Yes,3.0,60,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
uniqueid_5385,No,Rural,Yes,3.0,55,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_2376,No,Rural,Yes,7.0,20,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
uniqueid_2383,No,Rural,No,7.0,40,Female,Spouse,Married/Living together,No formal education,Other Income
uniqueid_1620,No,Rural,No,5.0,49,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_3898,No,Urban,Yes,3.0,22,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_6001,No,Rural,Yes,6.0,37,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_7680,No,Rural,Yes,7.0,23,Male,Child,Single/Never Married,Primary education,Remittance Dependent
uniqueid_2823,No,Rural,No,1.0,67,Female,Head of Household,Widowed,Primary education,Informally employed
uniqueid_8714,No,Rural,Yes,5.0,21,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
uniqueid_1427,No,Rural,No,2.0,19,Male,Child,Single/Never Married,Primary education,Informally employed
uniqueid_5314,No,Rural,Yes,5.0,54,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_3872,Yes,Rural,Yes,3.0,46,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_8618,No,Rural,Yes,4.0,35,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_5338,No,Urban,Yes,1.0,45,Female,Head of Household,Widowed,Vocational/Specialised training,Farming and Fishing
uniqueid_8389,No,Rural,Yes,5.0,34,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_3447,No,Rural,Yes,5.0,17,Female,Child,Single/Never Married,Primary education,Farming and Fishing
uniqueid_4336,No,Rural,Yes,6.0,21,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
uniqueid_7552,No,Urban,Yes,7.0,36,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_5108,No,Rural,Yes,10.0,21,Female,Child,Single/Never Married,Secondary education,Informally employed
uniqueid_2943,No,Rural,Yes,3.0,30,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_388,Yes,Urban,Yes,5.0,23,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_7305,No,Rural,Yes,5.0,23,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_5752,No,Rural,Yes,6.0,38,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_2301,No,Rural,Yes,4.0,22,Male,Child,Single/Never Married,Secondary education,Informally employed
uniqueid_7341,No,Rural,Yes,6.0,30,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
uniqueid_7742,No,Rural,Yes,3.0,35,Male,Head of Household,Divorced/Seperated,No formal education,Self employed
uniqueid_8676,No,Rural,Yes,4.0,27,Female,Spouse,Married/Living together,Primary education,Other Income
uniqueid_6993,No,Rural,Yes,3.0,77,Female,Head of Household,Widowed,No formal education,Remittance Dependent
uniqueid_1261,No,Rural,Yes,3.0,36,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_949,Yes,Urban,Yes,2.0,42,Male,Head of Household,Married/Living together,Secondary education,Formally employed Government
uniqueid_3546,No,Rural,Yes,4.0,35,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_2363,No,Rural,Yes,4.0,16,Male,Parent,Single/Never Married,Secondary education,Informally employed
uniqueid_1280,No,Rural,No,6.0,35,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_3483,No,Rural,Yes,4.0,55,Female,Head of Household,Widowed,Primary education,Informally employed
uniqueid_3540,No,Rural,No,1.0,69,Female,Head of Household,Widowed,Primary education,Informally employed
uniqueid_6276,No,Rural,Yes,8.0,26,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
uniqueid_1419,No,Rural,Yes,4.0,30,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_8274,No,Rural,Yes,6.0,37,Female,Head of Household,Widowed,No formal education,Informally employed
uniqueid_5515,No,Rural,Yes,4.0,43,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_3170,No,Rural,Yes,5.0,48,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_4907,No,Rural,Yes,2.0,78,Female,Head of Household,Widowed,No formal education,Remittance Dependent
uniqueid_7199,No,Rural,Yes,,55,Female,Head of Household,Widowed,No formal education,Remittance Dependent
uniqueid_73,No,Rural,Yes,4.0,29,Male,Head of Household,Married/Living together,Primary education,Remittance Dependent
uniqueid_6006,No,Rural,Yes,3.0,22,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
uniqueid_3019,No,Rural,Yes,4.0,28,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_6355,No,Rural,Yes,,70,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_2929,No,Rural,Yes,5.0,26,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
uniqueid_3249,No,Urban,Yes,5.0,19,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent
uniqueid_7259,No,Rural,Yes,4.0,30,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_534,Yes,Rural,Yes,6.0,34,Male,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_8380,Yes,Urban,Yes,2.0,45,Female,Head of Household,Widowed,Primary education,Informally employed
uniqueid_7037,No,Rural,Yes,6.0,55,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_194,No,Rural,Yes,6.0,31,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_8013,No,Rural,Yes,6.0,43,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_2669,No,Rural,Yes,3.0,37,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_5388,No,Rural,Yes,7.0,44,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_3317,No,Rural,Yes,2.0,80,Female,Head of Household,Widowed,Primary education,Farming and Fishing
uniqueid_7217,No,Rural,Yes,6.0,44,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
uniqueid_1616,No,Rural,Yes,3.0,29,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_2735,No,Rural,No,4.0,33,Female,Spouse,Married/Living together,Secondary education,Informally employed
uniqueid_4774,No,Rural,Yes,5.0,16,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent
uniqueid_5106,No,Rural,No,3.0,20,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_6146,No,Rural,Yes,3.0,54,Female,Head of Household,Widowed,No formal education,Government Dependent
uniqueid_1828,Yes,Rural,Yes,8.0,37,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_8094,No,Rural,No,1.0,73,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_3925,No,Rural,Yes,6.0,28,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_5780,No,Urban,Yes,7.0,44,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_6288,No,Urban,Yes,5.0,33,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_2790,No,Rural,Yes,2.0,80,Male,Head of Household,Married/Living together,Primary education,Government Dependent
uniqueid_2624,No,Rural,Yes,6.0,22,Female,Child,Single/Never Married,Secondary education,Informally employed
uniqueid_4967,No,Urban,Yes,3.0,39,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
uniqueid_4798,No,Rural,Yes,3.0,25,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
uniqueid_4709,No,Rural,No,2.0,89,Female,Head of Household,Widowed,No formal education,Remittance Dependent
uniqueid_7772,No,Rural,Yes,6.0,52,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_5123,No,Rural,No,6.0,36,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_6396,No,Rural,Yes,7.0,38,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_1023,No,Rural,Yes,4.0,27,Female,Spouse,Married/Living together,No formal education,Informally employed
uniqueid_7711,No,Rural,Yes,7.0,22,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
uniqueid_3423,No,Rural,Yes,4.0,57,Male,Head of Household,Married/Living together,No formal education,Self employed
uniqueid_2432,No,Rural,No,7.0,34,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_5474,No,Rural,No,3.0,22,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
uniqueid_1621,No,Rural,No,2.0,25,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_4260,No,Rural,Yes,2.0,21,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_7696,No,Rural,No,3.0,19,Female,Spouse,Married/Living together,Secondary education,Informally employed
uniqueid_4730,No,Rural,Yes,5.0,67,Female,Spouse,Married/Living together,No formal education,Informally employed
uniqueid_1057,No,Urban,Yes,4.0,41,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
uniqueid_3216,No,Rural,Yes,5.0,80,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_2995,No,Rural,Yes,3.0,25,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
uniqueid_8719,No,Urban,Yes,7.0,18,Female,Parent,Single/Never Married,Secondary education,Informally employed
uniqueid_4962,No,Rural,Yes,8.0,45,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_8259,Yes,Rural,Yes,6.0,39,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_2441,Yes,Rural,No,3.0,27,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_2215,No,Rural,Yes,4.0,30,Male,Child,Single/Never Married,No formal education,Farming and Fishing
uniqueid_3971,No,Rural,Yes,3.0,33,Male,Head of Household,Divorced/Seperated,No formal education,Other Income
uniqueid_5965,No,Rural,Yes,,30,Female,Other relative,Single/Never Married,Secondary education,Farming and Fishing
uniqueid_8129,No,Rural,Yes,4.0,29,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
uniqueid_5797,No,Rural,Yes,4.0,56,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
uniqueid_8756,No,Rural,No,6.0,49,Female,Spouse,Married/Living together,No formal education,Remittance Dependent
uniqueid_6170,No,Rural,Yes,2.0,25,Female,Child,Single/Never Married,Primary education,Farming and Fishing
uniqueid_5377,No,Urban,Yes,6.0,38,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
uniqueid_5546,Yes,Rural,Yes,,46,Male,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_6932,No,Rural,Yes,5.0,35,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
uniqueid_659,No,Rural,Yes,4.0,39,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
uniqueid_2256,No,Rural,Yes,6.0,37,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_6533,No,Rural,Yes,4.0,57,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_7207,No,Rural,Yes,2.0,55,Female,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing
uniqueid_4321,No,Rural,Yes,3.0,24,Female,Spouse,Married/Living together,Secondary education,Self employed
uniqueid_7827,No,Rural,Yes,4.0,28,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_6243,No,Rural,No,2.0,64,Female,Head of Household,Widowed,Primary education,Farming and Fishing
uniqueid_4364,No,Rural,No,6.0,34,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_4943,No,Rural,No,3.0,60,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_7090,No,Rural,No,,71,Female,Head of Household,Widowed,Vocational/Specialised training,Farming and Fishing
uniqueid_8648,No,Rural,Yes,2.0,19,Female,Child,Single/Never Married,Secondary education,Informally employed
uniqueid_5644,No,Rural,Yes,3.0,24,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_6005,No,Urban,Yes,7.0,24,Female,Other non-relatives,Single/Never Married,Primary education,Informally employed
uniqueid_6203,No,Rural,Yes,,23,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
uniqueid_1326,No,Rural,No,3.0,78,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_8252,No,Rural,Yes,3.0,54,Female,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing
uniqueid_6935,No,Rural,No,3.0,72,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_1618,No,Rural,Yes,7.0,32,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_3106,Yes,Rural,Yes,1.0,25,Male,Head of Household,Divorced/Seperated,Primary education,Other Income
uniqueid_4675,No,Rural,Yes,2.0,22,Female,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing
uniqueid_7761,No,Rural,No,5.0,30,Female,Head of Household,Divorced/Seperated,No formal education,Government Dependent
uniqueid_5776,No,Rural,Yes,8.0,38,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_3709,No,Rural,Yes,8.0,38,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_4074,No,Rural,Yes,4.0,50,Female,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing
uniqueid_216,No,Rural,Yes,7.0,19,Male,Child,Single/Never Married,Primary education,Farming and Fishing
uniqueid_1289,Yes,Rural,Yes,6.0,44,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_1547,No,Rural,Yes,5.0,43,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
uniqueid_4457,No,Rural,No,2.0,64,Female,Head of Household,Widowed,No formal education,Self employed
uniqueid_3740,No,Rural,Yes,5.0,33,Female,Spouse,Married/Living together,Secondary education,Formally employed Private
uniqueid_1780,No,Rural,Yes,,18,Female,Child,Single/Never Married,Primary education,Remittance Dependent
uniqueid_374,No,Rural,No,1.0,73,Female,Head of Household,Widowed,No formal education,Government Dependent
uniqueid_3401,No,Rural,Yes,5.0,40,Male,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing
uniqueid_957,No,Rural,Yes,6.0,30,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_6875,No,Rural,Yes,4.0,20,Female,Other relative,Single/Never Married,Secondary education,Farming and Fishing
uniqueid_6297,No,Rural,Yes,3.0,80,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_3654,No,Rural,Yes,6.0,74,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_3185,No,Rural,Yes,4.0,30,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
uniqueid_1309,No,Rural,Yes,3.0,20,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_6373,No,Rural,Yes,10.0,42,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
uniqueid_7709,No,Rural,Yes,6.0,74,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_658,No,Rural,Yes,5.0,34,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_8453,No,Rural,Yes,1.0,60,Female,Head of Household,Widowed,Primary education,Farming and Fishing
uniqueid_6741,No,Rural,Yes,3.0,19,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
uniqueid_3528,No,Rural,No,4.0,33,Female,Child,Divorced/Seperated,Primary education,Informally employed
uniqueid_7022,No,Rural,Yes,7.0,48,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_2614,No,Rural,No,3.0,37,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
uniqueid_5263,No,Rural,Yes,5.0,31,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_5926,No,Rural,No,3.0,42,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
uniqueid_5655,No,Rural,Yes,4.0,26,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_7387,Yes,Rural,Yes,,41,Female,Spouse,Married/Living together,Secondary education,Self employed
uniqueid_3559,Yes,Urban,Yes,3.0,33,Female,Parent,Single/Never Married,Tertiary education,Self employed
uniqueid_7012,No,Rural,No,4.0,45,Female,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing
uniqueid_4611,No,Rural,Yes,3.0,53,Female,Head of Household,Widowed,Primary education,Farming and Fishing
uniqueid_2547,No,Rural,Yes,7.0,16,Female,Child,Single/Never Married,Secondary education,Other Income
uniqueid_5564,No,Rural,Yes,4.0,34,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
uniqueid_3215,No,Urban,Yes,4.0,31,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_4681,No,Rural,Yes,5.0,41,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
uniqueid_3630,No,Rural,Yes,3.0,25,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_6117,No,Rural,Yes,4.0,16,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent
uniqueid_8418,No,Rural,Yes,5.0,36,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_5126,No,Urban,Yes,3.0,33,Male,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_5247,No,Rural,Yes,7.0,35,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_2199,No,Rural,Yes,3.0,64,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_8329,No,Rural,Yes,5.0,43,Female,Head of Household,Widowed,No formal education,Informally employed
